"85";"za vreme zaokreta u severnim kursevima na severnoj hemisferi:";"Vrtloženje tečnosti kompasa će povećati veličinu greške pokazivanja kompasa.";"Greška pokazivanja kompasa je najveća na ekvatoru.";"Greške pokazivanja kursa tokom ubrzanja su uvek značajnije nego greške pokazivanja kursa prilikom izvoñenja zaokreta.";"Kompas će se brže okretati.";"a";"Poznavanje vazduhoplova"
"86";"Mehanički brzinomer:";"Radi na principu magnetnog polja koje se indikuje u kutiji davača gde se stvara obrtni momenat koji rotira osovinu povezanu sa pokazivačem brzinomera.";"Koristi trenje koje se stvara u kutiji davača koji rotora osovinu povezanu sa pokazivačem brzinomera.";"Pokreće se direktno od osovine. Sistem zupčastog prenosa smanjuje brzinu rotacije tako da se generator može koristiti za stvaranje napona proporcionalnog brzini okretanja osovine, tako da se na pokazivaču očitava brzina kalibrisana brojem obrtaja motora.";"Pokreće se direktno od pokretača alternatora.";"a";"Poznavanje vazduhoplova"
"87";"Samopaljenje u četvorotaktnom klipnom motoru je:";"Paljenje smeše gorivo/vazduh ranije nego što bi trebalo.";"Uzrokovano bogatom smešom u vrelom motoru.";"Eksplozivno sagorevanje smeše gorivo/vazduh.";"Karakteristična promena zvuka rada motora.";"a";"Poznavanje vazduhoplova"
"88";"U instrumente koji se uobičajeno za svoj rad snabdevaju električnom energijom iz elektro-sistema spadaju:";"Pokazivač količine goriva i koordinator zaokreta.";"Obrtomer i pokazivač količine goriva.";"Pokazivač skretanja i pokazivač pritiska ulja.";"Obrtomer i pokazivač skretanja.";"a";"Poznavanje vazduhoplova"
"89";"Stepen kompresije je odnos:";"Zapremine cilindra kada je klip u donjoj mrtvoj tački i zapremine cilindra kada je klip u gornjoj mrtvoj tački.";"Zapremine prostora sabijanja i prostora ekspanzije.";"Kubikaže ekspanzije i ukupne kubikaže cilindra.";"Kubikaže ekspanzije i stepena sabijanja.";"a";"Poznavanje vazduhoplova"
"90";"U slučaju prekida rada alternatora i generatora u toku leta:";"Isključiti sve nepotrebne potrošače električne energije i sleteti što je moguće pre. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Poznavanje vazduhoplova";"Let se može nastaviti normalno jer akumulator snabdeva sve električne potrošače.";"Isključiti prekidač alternatora i nastaviti let normalno, bez električne energije.";"";"a";"Poznavanje vazduhoplova"
"91";"Svrha postavljanja liste devijacije kompasa u blizini magnetnog kompasa je da:";"Pokaže razliku izmeñu kursa očitanog na kompasu i stvarnog magnetnog kursa.";"Smanji uticaj magnetničnih materijala koje nose pilot ili lica u vazduhoplovu.";"Pokaže razliku izmeñu linije puta i magnetnog severa.";"Pokaže razliku izmeñu linije puta i stvarnog severa.";"a";"Poznavanje vazduhoplova"
"92";"Zbog čega sistem paljenja avionskih motora ima mehanizme za pojačavanje varnice na svećici?";"Zato što je brzina rotacije motora prilikom startovanja preniska za magnete da bi proizveli dovoljno energije za paljenje smeše gorovo-vazduh.";"Zato što je na visokim obrtajima motora potrebna obilna varnica da bi se dobila maksimalna snaga smeše.";"Da bi se prevazišao problem prekida rada svećice za vreme pokretanja motora.";"Zbog svega navedenog.";"a";"Poznavanje vazduhoplova"
"93";"Gas karbon-monoksid, koji je vrlo otrovan, može prodreti u kabinu tokom leta ukoliko je izduvni sistem otvoren. Karbon-monoksid je:";"Bez boje i mirisa.";"Može biti prepoznat po jakom mirisu.";"Može biti prepoznat po sivkastoj boji.";"Ima vrlo upadljiv ukus";"a";"Poznavanje vazduhoplova"
"94";"Žiro-direkcional:";"Pati od greške žiroskopa u odnosu na fiksnu poziciju u prostoru na koju je baždaren, uzrokovano zemljinom rotacijom.";"Je veoma ometen ugaonim ubrzanjem u zaokretu.";"Nije ometen greškom koja je prouzrokovana mehaničkim trenjem ležajeva u nosaču žiroskopa.";"Daje stabilnu referencu po azimutu i elevaciji da bi se održavao tačan kurs i ugao penjanja.";"a";"Poznavanje vazduhoplova"
"95";"Tip gasa koji se nalazi u cilindru za punjenje prsluka za spasavanje je:";"Karbon-dioksid.";"Vrlo otrovan i velika pažnja mora biti posvećena punjenju prsluka kako ne bi došlo do udisanja.";"Nezapaljiv.";"Karbon-monoksid.";"a";"Poznavanje vazduhoplova"
"96";"U pogledu magnetnog kompasa, piloti moraju imati na umu:";"Greške u pokazivanju skretanja su najveće kada se prolazi kroz pravac sever i jug, a minimalne kada se prolazi kroz pravac zapad i istok.";"Greške u pokazivanju skretanja su najveće kada se prolazi kroz pravac istok i zapad, a minimalne kada se prolazi kroz pravac sever i jug.";"Greške u pokazivanju skretanja se povećavaju kada se vazduhoplov približava magnetnom ekvatoru, a nestaju kada je vazduhoplov blizu magnetnih polova. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Poznavanje vazduhoplova";"Greške ubrzanja se povećavaju kada se vazduhoplov približava magnetnom polu, a nestaju kada je vazduhoplov blizu magnetnog ekvatora.";"a";"Poznavanje vazduhoplova"
"97";"Pokazivač temperature izduvnih gasova:";"Može pokazivati i da li je odnos vazduha i goriva u komori za sagorevanje suviše siromašan ili suviše bogat.";"Je motorski intrument dizajniran da zaštiti motor od pregrevanja.";"Služi istoj svrsi kao i instrument za merenje temperature glave motora.";"Zahteva energiju iz instalacije jednosmerne struje.";"a";"Poznavanje vazduhoplova"
"98";"Pravilan radni ciklus četvorotaktnog motora je:";"Usisavanje, kompresija, ekspanzija, izduvavanje.";"Izduvavanje, ekspanzija, usisavanje, kompresija.";"Usisavanje, ekspanzija, kompresija, izduvavanje.";"Izduvavanje, usisavanje, ekspanzija, kompresija.";"a";"Poznavanje vazduhoplova"
"99";"Kakva je posledica za validnost Sertifikata o plovidbenosti ukoliko vazduhoplov nije održavan u skladu sa odobrenim rasporedom održavanja naznačenim u Sertifikatu o plovidbenosti?";"Sertifikat o plovidbenosti će biti nevažeći do vremena dok se zahtevano održavanje ne izvrši.";"Vlasnik vazduhoplova mora podneti zahtev vazduhoplovnim vlastima za ozuzeće od traženog rasporeda održavanja.";"Sertifikat o plovidbenosti mora biti obnovljen pre nego što vazduhoplov bude osposobljen za letenje.";"Važnost Sertifikata o plovidbenosti neće biti doveden u pitanje.";"a";"Poznavanje vazduhoplova"
"100";"Radilica u klipnom motoru:";"Pretvara pravolinijsko kretanje klipa u rotaciono kretanje.";"Kontroliše zazore ventila.";"Pretvara rotaciono kretanje u pravolinijsko.";"Rotira upola sporije od bregaste osovine.";"a";"Poznavanje vazduhoplova"
"101";"Detonacija (rano paljenje):";"Je obično izazvana od strane vrele tačke u komori za sagorevanje.";"Poznata je kao „pucanje”.";"Se dešava nakon paljenja.";"Se dešava nakon bacanja varnice od strane svećice za paljenje.";"a";"Poznavanje vazduhoplova"
"102";"Stepen kompresije klipnog motora je:";"Odnos zapremine cilindra kada je klip u donjoj mrtvoj tački i zapremine kada je klip u gornjoj mrtvoj tački.";"Odnos ukupne zapremine cilindra kada je klip u donjoj mrtvoj tački.";"Odnos zapremine cilindra prema zapremini motora.";"Odnos zapremine motora i radne zapremine cilindra.";"a";"Poznavanje vazduhoplova"
"103";"Detonacija (rano paljenje) je:";"Nestabilno sagorevanje. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Poznavanje vazduhoplova";"Eksplozija koja se dešava pre normalne tačke paljenja.";"Obično povezana sa bogatom smešom i visokom temperaturom glave cilindra.";"Obično povezana sa siromašnom smešom i niskom temperaturom glave cilindra.";"a";"Poznavanje vazduhoplova"
"104";"Ukoliko za vreme leta u uslovima zaleñivanja otkaže grejač pito-cevi i vazduhoplov postepeno gubi visinu, a led je blokirao pito-cev (ukupni pritisak), pokazivanje visinomera, variometra i brzinomera bi bilo: Visinomer Variometar Brzinomer";"Pravilno pokazivanje/ Pravilno pokazivanje/ Pokazuje manju brzinu.";"Pravilno pokazivanje / Pokazuje manju brzinu/ Pokazuje veću brzinu.";"Pokazuje manju visinu/ Pravilno pokazivanje / Pokazuje veću brzinu.";"Pravilno pokazivanje/ Pravilno pokazivanje/ Pokazuje veću brzinu.";"a";"Poznavanje vazduhoplova"
"105";"Pokazivač temperature glave cilindra:";"Dobija podatke o temperaturi iz najtoplijeg cilindra motora, pomoću bimetalne trake.";"Je, prvenstveno, instrument gorivnog sistema.";"Zahteva naizmeničmu struju za napajanje pokazivača instrumenta.";"Dobija podatke iz davača koji je instaliran na oko 4 cm od glave cilindra na izduvnoj grani.";"a";"Poznavanje vazduhoplova"
"106";"Najverovatniji uzrok osciliranja pokazivanja pritiska ulja u toku horizontalnog leta kada motor radi na obrtajima krstarećeg leta je:";"Nizak nivo ulja.";"Prisustvo vazduha u rezervoaru za ulje.";"Gubitak električnog spoja.";"Rad motora na malom broju obrtaja.";"a";"Poznavanje vazduhoplova"
"107";"U rezervoarima vazduhoplova će najverovatnije doći do pojave vode u gorivu zbog:";"Prisustva atmosferskog vazduha u rezervoarima.";"Lošeg zatvaranja otvora rezervoara.";"Dopunjavanja rezervoara gorivom.";"Curenja rezervoara zbog čega dolazi do ulaska vode za vreme kiše.";"a";"Poznavanje vazduhoplova"
"108";"Visinomer:";"Sadrži aneroidnu kapsulu povezanu sa izvorom statičkog pritiska. Kapsula se sabija za vreme spuštanja.";"Sadrži barometričnu kapsulu, povezanu sa izvorom ukupnog pritiska, koja se sabija za vreme spuštanja.";"Sadrži barometričnu kapsulu koja se širi za vreme spuštanja.";"Sadrži kapsulu sa smanjenim pritiskom koja se širi za vreme spuštanja.";"a";"Poznavanje vazduhoplova"
"109";"Moguće je da doñe do zaleñivanja karburatora kada je relativna vlažnost veća od 50%, u rasponu temperatura:";"-70C do +330C.";"00C i nižim. -200C +100C.";"do";"Na bilo kojoj temperaturi. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Poznavanje vazduhoplova";"a";"Poznavanje vazduhoplova"
"110";"Ukoliko doñe do pregorevanja osigurača za vreme leta:";"Osigurač može biti zamenjen u toku leta samo jedanput, osiguračem iste vrednosti.";"Ne bi trebalo da bude zamenjen pre sletanja.";"Može biti zamenjen osiguračem veće snage da bi se obezbedilo da ne doñe do pregorevanja.";"Može biti zamenjen onoliko puta koliko je potrebno.";"a";"Poznavanje vazduhoplova"
"111";"Ukoliko, za vreme snižavanja, vod statičkog pritiska do variometra postane blokiran, pokazivač variometra će:";"Pokazivati nulu, nakon kratkog zastoja.";"Nastaviti da pokazuje istu brzinu spuštanja.";"Pokazivati penjanje.";"Pokazivati spuštanje.";"a";"Poznavanje vazduhoplova"
"112";"Kada je vazduhoplov u letu, pritisak na prednjem otvoru pito-cevi je:";"Dinamički pritisak plus statički pritisak.";"Statički pritisak.";"Ukupni pritisak plus dinamički pritisak.";"Dinamički pritisak.";"a";"Poznavanje vazduhoplova"
"113";"Žiroskop u veštačkom horizontu je:";"Žiroskop koji rotira u horizontalnoj ravni oko vertikalne ose.";"Žiroskop koji rotira u vertikalnoj ravni oko poprečne ose vazduhoplova.";"Žiroskop koji rotira u vertikalnoj ravni oko uzdužne ose vazduhoplova.";"Spregnuti žiroskop koji rotira u horizontalnoj ravni oko uzdužne ose vazduhoplova.";"a";"Poznavanje vazduhoplova"
"114";"Glavna prednost alternatora nad generatorom je sledeća:";"Alternator daje gotovo punu snagu na brzini obrtaja motora na relantu.";"Generator može dati samo naizmeničnu struju.";"Izlazna snaga na generatoru isuviše oscilira.";"Alterantor proizvodi jednosmernu struju.";"a";"Poznavanje vazduhoplova"
"115";"Kako vazduh ulazi u suženje venturi tube, brzina _______, statički ili ambijentni pritisak _________, a temperatura _________.";"Raste/ opada/ opada.";"Raste/ raste/ raste.";"Opada/ raste/ opada.";"Opada/ opada/ raste.";"a";"Poznavanje vazduhoplova"
"116";"Detonacija je:";"Štetna za cilindar.";"Poznata kao „udar u cilindru”.";"Deo normalnog rada motora.";"Ne može se ustanoviti spolja.";"a";"Poznavanje vazduhoplova"
"117";"Magnetni kurs je:";"Zbir kompasnog kursa i kompasne devijacije.";"Zbir kompasnog kursa, kompasne devijacije i varijacije. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Poznavanje vazduhoplova";"Kurs na koga ne utiče greška okretanja.";"Uvek usmeren ka pravom severu.";"a";"Poznavanje vazduhoplova"
"118";"Da bi motor radio na maksimalnoj efikasnosti:";"Mora biti na maksimalnoj dozvoljenoj temperaturi, a u skladu sa bezbednim operacijama.";"Uljni sistem motora mora konstantno biti dopunjavan vrelim uljem.";"Mora biti korišćen na velikoj visini da bi se iskoristile pogodnosti hladnije atmosfere.";"Mora biti na najnižoj temperaturi, u skladu sa bezbednim operacijama.";"a";"Poznavanje vazduhoplova"
"119";"Koji deo (delovi) motora sa unutrašnjim sagorevanjem zaptiva(ju) komoru za sagorevanje?";"Karike i ventili.";"Zaptivka cilindra.";"Svećice.";"Bregasta osovina.";"a";"Poznavanje vazduhoplova"
"120";"Klipnjača ostvaruje vezu izmeñu:";"Klipa i radilice motora.";"Klipa i bregaste osovine.";"Osovine ventila i ?";"Klackalice ventila i osovine ventila.";"a";"Poznavanje vazduhoplova"
"121";"Koji deo četvorotaktnog klipnog motora upravlja ventilima?";"Bregasta osovina.";"Klipnjača.";"Osovina klipa.";"Izduvni ventil.";"a";"Poznavanje vazduhoplova"
"122";"Svrha rebara oko cilindra vazdušno hlañenog klipnog motora jeste:";"Bolje hlañenje.";"Povećanje efikasnosti cilindra.";"Smanjenje aerodinamičkog otpora.";"Smanjenje mase motora.";"a";"Poznavanje vazduhoplova"
"123";"Ulje u četvorotaktnom motoru služi:";"Za podmazivanje i hlañenje motora.";"Da poveća temperaturu sagorevanja smeše u cilindru.";"Kao aditiv odgovarajućoj smeši goriva koja sagoreva u cilindrima.";"Za tiši rad motora.";"a";"Poznavanje vazduhoplova"
"124";"Kada motor ne radi, glavni izvor električne energije je(su):";"Akumulator.";"Magneti.";"Generator i alternator.";"Osigurač.";"a";"Poznavanje vazduhoplova"
"125";"Za pobuñivanje alternatora inicijalna električna energija se dobija od: ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Poznavanje vazduhoplova";"Akumulatora.";"Magneta.";"Bombine.";"Razvodne kape.";"a";"Poznavanje vazduhoplova"
"126";"Može li alternator avionskog motora funkcionisati bez akumulatora?";"Ne, ni u kom slučaju.";"Da, u slučaju da magneti rade normalno.";"Da, ali samo na visokom broju obrtaja motora.";"Da, pod uslovom da je pilot ugasio sve potrošače.";"a";"Poznavanje vazduhoplova"
"127";"Na koji izvor električne energije je povezan starter motora?";"Direktno na akumulator.";"Samo na spoljni izvor električne energije.";"Na alternator ili generator.";"Zavisi od tipa vazduhoplova.";"a";"Poznavanje vazduhoplova"
"128";"Jedna od namena dvostrukog sistema paljenja na avionskom motoru je da omogući:";"Poboljšanje performansi motora.";"Izjednačen pritisak u glavi cilindra.";"Ravnomernu distribuciju toplote.";"";"a";"Poznavanje vazduhoplova"
"129";"Koja bi bila posledica otkaza jednog magneta na motoru tokom leta na režimu krstarenja?";"Došlo bi do manjeg pada broja obrtaja i malog povećanja potrošnje goriva.";"Motor bi radio neravnomerno.";"Došlo bi do pucanja u izduvnoj grani.";"Došlo bi do pojave crnog dima iz izduvne grane.";"a";"Poznavanje vazduhoplova"
"130";"Šta se kontroliše pomoću davača temperature izduvnih gasova (EGT) kod avionskih motora sa unutrašnjim sagorevanjem?";"Kvalitete smeše gorivo-vazduh.";"Zaleñivanje karburatora.";"Pritisak ulja.";"Potrošnja ulja.";"a";"Poznavanje vazduhoplova"
"131";"Hlañenje vazduhoplovnog motora sa unutrašnjim sagorevanjem posebno zavisi od:";"Cirkulacije vazduha oko izduvne grane.";"Cirkulacije ulja za podmazivanje.";"Odgovarajućeg funkcionisanja termostata.";"";"a";"Poznavanje vazduhoplova"
"132";"Koji instrument(i) je(su) povezan(i) sa ukupnim pritiskom?";"Brzinomer.";"Brzinomer, klasični variometar i visinomer.";"Klasični variometar i brzinomer.";"Klasični variometar.";"a";"Poznavanje vazduhoplova"
"133";"Šta uzrokuje da se stvarna brzina vazduhoplova razlikuje od indikovane brzine? ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Poznavanje vazduhoplova";"Čeona komponenta vetra.";"Greška na pito-cevi uzrokovana gubitkom protoka vazduha.";"Greška zanošenja uzrokovana momentom zanošenja na režimu krstarenja.";"Promena temperature i gustine vazduha.";"a";"Poznavanje vazduhoplova"
"134";"Ako je visinomer podešen na QNH pritisak, koju će visinu pokazivati nakon sletanja?";"Visinu aerodroma iznad srednjeg nivoa mora.";"Nula.";"Visinu aerodroma iznad ravni pritiska od 1013,2hPa.";"Visinu aerodroma po pritisku iznad standardne vrednosti.";"a";"Poznavanje vazduhoplova"
"135";"Ukoliko pilot menja podešenost visinomera na nižu vrednost pritiska, indikator visine će pokazati:";"Nižu visinu.";"Istu visinu.";"Porast visine.";"";"a";"Poznavanje vazduhoplova"
"136";"Ukoliko se leti iz područja visokog pritiska prema području nižeg pritiska bez podešavanja visinomera, stvarna visina vazduhoplova:";"Opada.";"Raste.";"Ostaje nepromenjena. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H)";"";"a";"Poznavanje vazduhoplova"
"1";"Maksimalna masa na sletanju se najbolje definiše kao:";"Maksimalno dozvoljena ukupna masa na sletanju u normalnim uslovima letenja.";"Maksimalno dozvoljena ukupna masa na sletanju.";"Maksimalno dozvoljena ukupna masa u prilazu na sletanje.";"Maksimalno dozvoljena ukupna masa u taksiranju ka platformi.";"a";"Performanse leta i planiranje"
"2";"Grafikon snage (Vidi sliku PPL (H) FPP-2) prikazuje Snagu profilnog otpora (Rotor Profile Power) i Indukovanu snagu (Induced Power) slovima:";"„B” i „A”.";"„B” i „C”.";"“C” i “A”.";"“C” i “B”.";"a";"Performanse leta i planiranje"
"3";"Grafikon snage (Vidi sliku PPL (H) FPP-2) prikazuje Snagu profilnog otpora (Rotor Profile Power) i Snagu otpora kretanja (Parasite Power) slovima:";"„B” i „C”.";"„B” i „A”.";"“C” i “A”.";"“C” i “B”.";"a";"Performanse leta i planiranje"
"4";"Kako se naziva opterećenje pri kome može doći do loma strukture vazduhoplova?";"Krajnje opterećenje.";"Sigurnosni faktor opterećenja.";"Granično opterećenje.";"Maksimalno opterećenje.";"a";"Performanse leta i planiranje"
"5";"Vazduhoplov koji je mnogo pretovaren će: 1 Zahtevati povećanu dužinu poletanja i sletanja. 2 Imati umanjen plafon lebdenja sa uticajem vazdusnog jastuka. 3 Imati umanjenu maksimalnu brzinu na nivou leta. 4 Imati povećan dolet i autonomiju leta. 5 Imati umanjenu brzinu penjanja i operativni nivo leta. Šta je od gore navedenog tačno?";"1, 2, 3, i 5.";"1, 2, 4 i 5.";"2, 4 i 5.";"1, 2, 3 i 4.";"a";"Performanse leta i planiranje"
"6";"Maksimalna masa bez goriva (MZFM) je definisana kao:";"Maksimalna dozvoljena masa vazduhoplova bez upotrebljivog goriva. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Performanse leta i planiranje";"Maksimalna dozvoljena masa vazduhoplova bez putnika ili goriva.";"Maksimalna dozvoljena masa vazduhoplova bez posade ili goriva.";"Maksimalna dozvoljena masa vazduhoplova bez putnika, posade i prtljaga.";"a";"Performanse leta i planiranje"
"7";"Maksimalna masa na poletanju je definisana kao:";"Maksimalna dozvoljena ukupna masa na početku poletanja.";"Maksimalna dozvoljena ukupna masa pre taksiranja.";"Maksimalna dozvoljena ukupna masa pre poletanja.";"Maksimalna dozvoljena ukupna masa u momentu prelaska iz lebdenja u progresivan let.";"a";"Performanse leta i planiranje"
"8";"Koja od sledećih situacija, u odreñenim uslovima, može dovesti do strukturalnih oštećenja?";"Vazduhoplov koji leti iznad svoje maksimalne ukupne mase.";"Vazduhoplov opšte kategorije koji leti sa maksimalno dozvoljenom masom.";"Vazduhoplov koji leti iznad svoje maksimalne mase na sletanju.";"Vazduhoplov normalne kategorije koji leti sa maksimalno dozvoljenom masom.";"a";"Performanse leta i planiranje"
"9";"Brzina koja se nikada ne sme prekoračiti (VNE) i na brzinomeru je označena crvenom kružnom linijom je brzina pri kojoj:";"Je letenje dozvoljeno samo u mirnom vazduhu";"Produženi let nije siguran.";"Je letenje zabranjeno";"Može doći do strukturalnih oštećenja.";"a";"Performanse leta i planiranje"
"10";"Grafikon snage (Vidi sliku PPL (H) FPP-2) prikazuje Indukovanu snagu (Induced Power) i Snagu otpora kretanja (Parasite Power) slovima:";"„A” i „C”.";"„B” i „A”.";"“A” i “B”.";"“C” i “B”.";"a";"Performanse leta i planiranje"
"11";"Vaš vazduhoplov ima uljni rezervoar kapaciteta 3 imp/gal, koji je postavljen 20 inča iza referentne linije. Ako je težina ulja 9.1 lbs/gal, moment rezervoara će biti:";"546 lb in.";"60 lb in.";"27.3 lb in.";"182 lb in.";"a";"Performanse leta i planiranje"
"12";"Snaga profilnog otpora (Rotor Profile Power) je:";"Snaga potrebna da pokreće noseći rotor, repni rotor i ostalu opremu.";"Snaga potrebna da indukuje protok vazduha, tj. da stvori vučnu silu rotora.";"Snaga potrebna za savlañivanje otpora vazduha pri kretanju helikoptera.";"Snaga potrebna za održavanje pravilnog profila za sletanje.";"a";"Performanse leta i planiranje"
"13";"Vazduhoplov je natovaren tako da mu je centar težišta na zadnjoj granici. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Performanse leta i planiranje I Potrebno je komandovanje cikličnom palicom u nazad, da bi se helikopter zadržao u lebdenju. II Potrebno je komandovanje c.p. u napred da bi se helikopter zadržao u lebdenju. III Prilikom odvajanja od zemlje kod poletanja moguć kontakt repnog rotora sa podlogom. IV Sile na palici se povećavaju, što je negativan faktor.";"Samo II i III je tačno";"Sve gore navedeno je tačno";"Samo I i IV je tačno";"Samo II i IV je tačno.";"a";"Performanse leta i planiranje"
"14";"Sertifikacioni zahtevi propisuju da pri utovaru lakog helikoptera:";"Centar težišta treba da ostane u okviru definisanih limita i maksimalna masa na poletanju ne sme se prekoračiti.";"Sva sedišta, prtljažni prostori i rezervoari goriva budu u okviru limita centra težišta, tako da je nemoguće opteretiti vazduhoplov preko limita.";"Sa maksimalnim brojem putnika i prtljaga i pun goriva, vazduhoplov neće preći odobrenu maksimalnu masu na poletanju.";"Da se maksimalna masa na poletanju ne prelazi a centar težišta da bude najmanje 5% unutar dozvoljenih granica.";"a";"Performanse leta i planiranje"
"15";"Indukovana snaga (Induced Power) je :";"Snaga potrebna za indukovanje protoka vazduha, tj. da stvori vučnu silu rotora.";"Snaga potrebna za pokretanje nosećeg rotora, repnog rotora i ostalih ureñaja.";"Snaga potrebna za savlañivanje otpora vazduha pri kretanju helikoptera.";"Snaga potrebna za indukovanje naizmenične struje.";"a";"Performanse leta i planiranje"
"16";"Suva operativna težina (Dry Operating Mass) se definiše kao:";"Ukupna masa vazduhoplova opremljenog za odreñenu vrstu letačkih zadataka uključujući i posadu, prtljag posade i posebnu opremu, bez potrebnog goriva i tereta za transport.";"Ukupna masa vazduhoplova opremljenog za odreñenu vrstu letačkih zadataka uključujući i posadu, prtljag posade, ketering i pokretnu opremu za posluženje putnika i gorivo.";"Ukupna masa vazduhoplova opremljenog za odreñenu vrstu letačkih zadataka uključujući i posadu, prtljag posade, ketering i pokretnu opremu za posluženje putnika i teret za transport.";"Ukupna masa vazduhoplova opremljenog za odreñenu vrstu letačkih zadataka uključujući i posadu, prtljag posade, ketering i pokretnu opremu za posluženje putnika, teret za transport i gorivo.";"a";"Performanse leta i planiranje"
"17";"Helikopter koji je natovaren tako da mu je centar težišta van njegove prednje granice će:";"Trebati veću raspoloživu distancu za sletanje zbog ograničene mogućnosti za “flare”";"U krstarenju i uslovima sa jakim rafalnim vetrom biti sprečen da „podigne nos“.";"Zahtevati manji napor za odlepljenje na poletanju.";"Imati i povećan dolet i autonomiju leta. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Performanse leta i planiranje";"a";"Performanse leta i planiranje"
"18";"Kada se centar težišta helikoptera nalazi na prednjoj granici, moguće posledice su:";"Potrebno značajno komandovanje cikličnom palicom unazad da bi se helikopter zadržao u lebdenju.";"Kontakt repa sa podlogom prilikom odvajanja helikoptera od zemlje.";"Osetljivost komandi po pitch-u (visini) i slaba uzdužna stabilnost.";"Osetljivost komandi po pitch-u (visini) i dobra uzdužna stabilnost.";"a";"Performanse leta i planiranje"
"19";"Vazduhoplov težine 2000 lbs sa ukupnim momentom centra težišta od + 169400 lb napunjen je sa 440 lbs goriva. Ako je efektivni krak goriva 88.5 inča, nazad u odnosu na referentnu liniju, kolika će biti nova masa vazduhoplova i momenat centra težišta?";"2440 lbs +208340 lb in.";"1560 lbs +208340 lb in.";"2440 lbs +169488.5 lb in.";"1560 lbs +169488.5 lb in.";"a";"Performanse leta i planiranje"
"20";"Planirate da opteretite vazduhoplov maksimalno dozvoljenim teretom. Vaše glavno razmatranje za vreme planiranja leta biće:";"Količina goriva možda će morati biti ograničena da bi se sprečilo prekoračenje maksimalno dozvoljene ukupne mase/težine.";"Obavezno se nosi maksimalna količina goriva kada se prevoze putnici.";"Količina goriva je proračunata u proračunima tereta.";"Teret možda mora biti smanjen da bi se omogućilo punjenje maksimalne količine goriva.";"a";"Performanse leta i planiranje"
"21";"Ukupna masa tereta (ukupno opterećenje) je:";"Ukupna masa putnika , prtljaga i robe";"Uključuje vodu za piće i hemijska sredstva u toaletu";"Ukupna masa putnika , prtljaga , robe i goriva";"Uključuje bazičnu masu praznog aviona.";"a";"Performanse leta i planiranje"
"22";"Posledice letenja helikoptera sa centrom težišta preko zadnjeg limita će biti: I. Prilikom odvajanja od zemlje moguć kontakt repa sa podlogom. II. Biće potrebno značajno komandovanje cikličnom palicom unapred da bi se helikopter zadržao u lebdenju. III. U krstarenju, i uslovima sa jakim rafalnim vetrom, nemogućnost sprečavanja „podizanja nosa“";"Svi navodi su tačni.";"Samo navod I je tačan.";"Samo navodi I i III su tačni.";"Samo navodi II i III su tačni.";"a";"Performanse leta i planiranje"
"23";"Snaga otpora kretanja (Parasite Power) je :";"Snaga potrebna za savladjivanje otpora vazduha pri kretanju helikoptera.";"Snaga potrebna da indukuje protok vazduha, tj. da stvori vučnu silu rotora.";"Snaga potrebna da pokreće noseći rotor, repni rotor i ostalu opremu.";"Snaga potrebna za taxiranje helikoptera po tlu. ODELJENJE VAZDUHOPLOVNOG OSOBLJA ISPITNA PITANJA ZA PPL(H) PPL(H) – Performanse leta i planiranje";"a";"Performanse leta i planiranje"
"24";"Koristeći dijagram Visine po gustini (vidi Sliku PPL (H) FPP-3) odredi visinu po gustini (Density Altitude) za date uslove: Visina heliodroma = 3000ft QNH = 29.92 in OAT = +9°C";"3000ft";"4000ft";"5000ft";"2000ft.";"a";"Performanse leta i planiranje"
"25";"Šta se koristi kao osnova za odreñivanje granica centra težišta?";"Datum (referentna linija).";"Vratilo noseceg rotora.";"Vratilo repnog rotora.";"Prednja prednja ili krajnja zadnja tačka helikoptera.";"a";"Performanse leta i planiranje"
"26";"Proizvoñač odreñuje granice centra težišta i:";"One su obavezne.";"Imaju samo prednju granicu.";"Predstavljaju samo smernice.";"Imaju samo zadnju granicu.";"a";"Performanse leta i planiranje"
